Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,55,9,Some Random Commen with Id 0
1,1,3,129,3,Some Random Commen with Id 1
2,1,3,183,8,Some Random Commen with Id 2
3,2,4,83,3,Some Random Commen with Id 3
4,2,4,181,8,Some Random Commen with Id 4
5,2,4,192,3,Some Random Commen with Id 5
6,2,4,58,2,Some Random Commen with Id 6
7,2,4,186,5,Some Random Commen with Id 7
8,3,8,101,7,Some Random Commen with Id 8
9,3,8,171,7,Some Random Commen with Id 9
10,4,7,38,1,Some Random Commen with Id 10
11,4,7,50,5,Some Random Commen with Id 11
12,4,7,22,7,Some Random Commen with Id 12
13,6,3,71,8,Some Random Commen with Id 13
14,6,3,84,1,Some Random Commen with Id 14
15,6,3,68,0,Some Random Commen with Id 15
16,7,0,189,4,Some Random Commen with Id 16
17,7,0,11,9,Some Random Commen with Id 17
18,7,0,136,8,Some Random Commen with Id 18
19,7,0,173,6,Some Random Commen with Id 19
20,7,0,9,7,Some Random Commen with Id 20
21,7,0,159,1,Some Random Commen with Id 21
22,7,0,52,0,Some Random Commen with Id 22
23,8,1,144,0,Some Random Commen with Id 23
24,8,1,161,6,Some Random Commen with Id 24
25,8,1,142,6,Some Random Commen with Id 25
26,8,1,15,0,Some Random Commen with Id 26
27,8,1,17,7,Some Random Commen with Id 27
28,8,1,51,1,Some Random Commen with Id 28
29,9,9,36,3,Some Random Commen with Id 29
30,9,9,46,4,Some Random Commen with Id 30
31,9,9,194,1,Some Random Commen with Id 31
32,10,4,106,7,Some Random Commen with Id 32
33,10,4,194,0,Some Random Commen with Id 33
34,10,4,154,2,Some Random Commen with Id 34
35,10,4,18,5,Some Random Commen with Id 35
36,10,4,160,9,Some Random Commen with Id 36
37,11,5,157,0,Some Random Commen with Id 37
38,11,5,127,5,Some Random Commen with Id 38
39,11,5,191,4,Some Random Commen with Id 39
40,11,5,129,0,Some Random Commen with Id 40
41,11,5,4,2,Some Random Commen with Id 41
42,12,1,106,6,Some Random Commen with Id 42
43,12,1,109,2,Some Random Commen with Id 43
44,13,9,179,1,Some Random Commen with Id 44
45,13,9,30,5,Some Random Commen with Id 45
46,13,9,194,7,Some Random Commen with Id 46
47,13,9,153,7,Some Random Commen with Id 47
48,13,9,1,9,Some Random Commen with Id 48
49,13,9,178,5,Some Random Commen with Id 49
50,14,1,85,2,Some Random Commen with Id 50
51,14,1,146,7,Some Random Commen with Id 51
52,14,1,15,0,Some Random Commen with Id 52
53,14,1,163,8,Some Random Commen with Id 53
54,14,1,146,3,Some Random Commen with Id 54
55,14,1,14,1,Some Random Commen with Id 55
56,15,9,143,2,Some Random Commen with Id 56
57,15,9,123,3,Some Random Commen with Id 57
58,15,9,40,4,Some Random Commen with Id 58
59,15,9,180,5,Some Random Commen with Id 59
60,16,1,135,9,Some Random Commen with Id 60
61,16,1,148,2,Some Random Commen with Id 61
62,16,1,88,0,Some Random Commen with Id 62
63,16,1,33,1,Some Random Commen with Id 63
64,16,1,21,9,Some Random Commen with Id 64
65,17,0,133,4,Some Random Commen with Id 65
66,17,0,99,9,Some Random Commen with Id 66
67,17,0,169,4,Some Random Commen with Id 67
68,17,0,113,4,Some Random Commen with Id 68
69,17,0,183,3,Some Random Commen with Id 69
70,17,0,80,7,Some Random Commen with Id 70
71,17,0,157,3,Some Random Commen with Id 71
72,17,0,132,8,Some Random Commen with Id 72
73,17,0,130,5,Some Random Commen with Id 73
74,18,0,152,5,Some Random Commen with Id 74
75,18,0,24,8,Some Random Commen with Id 75
76,18,0,86,9,Some Random Commen with Id 76
77,19,9,162,5,Some Random Commen with Id 77
78,19,9,131,7,Some Random Commen with Id 78
79,19,9,164,4,Some Random Commen with Id 79
80,19,9,109,0,Some Random Commen with Id 80
81,19,9,85,5,Some Random Commen with Id 81
82,19,9,70,5,Some Random Commen with Id 82
83,20,6,77,8,Some Random Commen with Id 83
84,20,6,133,9,Some Random Commen with Id 84
85,20,6,44,5,Some Random Commen with Id 85
86,20,6,138,7,Some Random Commen with Id 86
87,20,6,156,8,Some Random Commen with Id 87
88,20,6,72,1,Some Random Commen with Id 88
89,20,6,32,8,Some Random Commen with Id 89
90,20,6,128,1,Some Random Commen with Id 90
91,22,7,82,3,Some Random Commen with Id 91
92,23,9,5,4,Some Random Commen with Id 92
93,23,9,51,3,Some Random Commen with Id 93
94,23,9,122,6,Some Random Commen with Id 94
95,23,9,59,4,Some Random Commen with Id 95
96,23,9,56,2,Some Random Commen with Id 96
97,23,9,72,8,Some Random Commen with Id 97
98,23,9,35,1,Some Random Commen with Id 98
99,24,9,13,6,Some Random Commen with Id 99
100,24,9,36,4,Some Random Commen with Id 100
101,24,9,145,9,Some Random Commen with Id 101
102,24,9,57,3,Some Random Commen with Id 102
103,25,3,96,8,Some Random Commen with Id 103
104,25,3,131,1,Some Random Commen with Id 104
105,25,3,171,1,Some Random Commen with Id 105
106,25,3,56,8,Some Random Commen with Id 106
107,25,3,150,9,Some Random Commen with Id 107
108,26,1,130,7,Some Random Commen with Id 108
109,26,1,62,6,Some Random Commen with Id 109
110,26,1,129,4,Some Random Commen with Id 110
111,27,8,59,2,Some Random Commen with Id 111
112,27,8,34,4,Some Random Commen with Id 112
113,27,8,31,4,Some Random Commen with Id 113
114,27,8,126,7,Some Random Commen with Id 114
115,27,8,14,7,Some Random Commen with Id 115
116,27,8,184,5,Some Random Commen with Id 116
117,27,8,146,8,Some Random Commen with Id 117
118,27,8,169,2,Some Random Commen with Id 118
119,28,0,192,9,Some Random Commen with Id 119
120,28,0,162,6,Some Random Commen with Id 120
121,28,0,166,7,Some Random Commen with Id 121
122,28,0,54,7,Some Random Commen with Id 122
123,29,8,188,9,Some Random Commen with Id 123
124,29,8,8,0,Some Random Commen with Id 124
125,29,8,44,1,Some Random Commen with Id 125
126,30,3,149,8,Some Random Commen with Id 126
127,31,2,131,1,Some Random Commen with Id 127
128,31,2,30,8,Some Random Commen with Id 128
129,31,2,23,8,Some Random Commen with Id 129
130,31,2,152,4,Some Random Commen with Id 130
131,31,2,189,6,Some Random Commen with Id 131
132,31,2,66,1,Some Random Commen with Id 132
133,31,2,35,9,Some Random Commen with Id 133
134,31,2,189,4,Some Random Commen with Id 134
135,31,2,77,6,Some Random Commen with Id 135
136,32,4,181,4,Some Random Commen with Id 136
137,32,4,22,6,Some Random Commen with Id 137
138,32,4,183,5,Some Random Commen with Id 138
139,32,4,127,0,Some Random Commen with Id 139
140,32,4,187,9,Some Random Commen with Id 140
141,32,4,134,1,Some Random Commen with Id 141
142,32,4,164,7,Some Random Commen with Id 142
143,32,4,90,6,Some Random Commen with Id 143
144,32,4,53,3,Some Random Commen with Id 144
145,33,1,3,2,Some Random Commen with Id 145
146,33,1,131,3,Some Random Commen with Id 146
147,33,1,198,2,Some Random Commen with Id 147
148,33,1,123,0,Some Random Commen with Id 148
149,33,1,105,8,Some Random Commen with Id 149
150,33,1,124,9,Some Random Commen with Id 150
151,34,1,123,8,Some Random Commen with Id 151
152,34,1,58,1,Some Random Commen with Id 152
153,34,1,136,6,Some Random Commen with Id 153
154,34,1,132,9,Some Random Commen with Id 154
155,34,1,89,3,Some Random Commen with Id 155
156,34,1,21,6,Some Random Commen with Id 156
157,34,1,78,2,Some Random Commen with Id 157
158,35,4,196,2,Some Random Commen with Id 158
159,36,1,173,6,Some Random Commen with Id 159
160,36,1,190,0,Some Random Commen with Id 160
161,36,1,164,2,Some Random Commen with Id 161
162,36,1,119,8,Some Random Commen with Id 162
163,36,1,94,6,Some Random Commen with Id 163
164,36,1,75,2,Some Random Commen with Id 164
165,37,6,15,4,Some Random Commen with Id 165
166,37,6,29,1,Some Random Commen with Id 166
167,38,0,65,4,Some Random Commen with Id 167
168,38,0,161,0,Some Random Commen with Id 168
169,38,0,192,4,Some Random Commen with Id 169
170,39,0,88,2,Some Random Commen with Id 170
171,39,0,190,0,Some Random Commen with Id 171
172,39,0,133,5,Some Random Commen with Id 172
173,39,0,199,8,Some Random Commen with Id 173
174,39,0,131,5,Some Random Commen with Id 174
175,39,0,75,8,Some Random Commen with Id 175
176,39,0,56,3,Some Random Commen with Id 176
